Sepal length ,Sepal width ,Petal length ,Petal width 
2.64136,5.23324,-2.4258,-0.109144
2.67171,4.69588,-2.41055,-0.0995207
2.4556,4.80048,-2.23068,-0.0970864
2.54652,4.67433,-2.15691,-0.271371
2.6188,5.29259,-2.2652,-0.0958894
2.97715,5.73576,-2.36873,-0.21619
2.46419,4.9541,-2.03063,-0.1765
2.67422,5.10484,-2.36597,-0.203243
2.43807,4.41081,-2.07908,-0.219008
2.64638,4.78422,-2.4348,-0.244321
2.80191,5.53536,-2.57503,-0.135114
2.62806,5.02987,-2.20924,-0.336217
2.56313,4.65134,-2.40285,-0.178046
2.1284,4.45158,-2.0877,-0.0694551
2.75544,5.95916,-2.82592,0.173574
2.88279,6.30725,-2.48326,-0.0390462
2.74492,5.72681,-2.4245,0.104557
2.69783,5.23917,-2.3621,-0.0570133
3.10392,5.75363,-2.67212,-0.176657
2.67514,5.5175,-2.27164,-0.174647
2.99878,5.26376,-2.62366,-0.258041
2.75853,5.4314,-2.23344,-0.110033
2.12166,5.12327,-2.09909,0.0671506
3.03878,5.0737,-2.24388,-0.168346
2.80223,5.03658,-2.16741,-0.576777
2.83994,4.73897,-2.45405,-0.2335
2.84523,5.11895,-2.22463,-0.179167
2.75152,5.27409,-2.48325,-0.162937
2.72038,5.17982,-2.5227,-0.0702684
2.62978,4.8072,-2.18886,-0.337646
2.7088,4.75378,-2.28576,-0.29877
2.99561,5.27114,-2.52415,0.0065951
2.53356,5.82033,-2.39391,-0.289962
2.66139,6.03187,-2.53283,-0.0909451
2.70285,4.79015,-2.3711,-0.19219
2.55388,4.91407,-2.45881,0.0622818
2.79174,5.38544,-2.72532,0.0766175
2.45375,5.24212,-2.3212,-0.226546
2.3531,4.5006,-2.06751,-0.151303
2.72633,5.14345,-2.43736,-0.176849
2.58766,5.19833,-2.30465,-0.00322049
2.65009,3.90095,-2.25376,0.0145977
2.29927,4.68466,-2.0165,-0.176268
2.93126,5.22284,-2.07172,-0.0873868
2.96385,5.53239,-2.15217,-0.443262
2.67608,4.66321,-2.27545,-0.0737834
2.67673,5.5138,-2.32139,-0.306965
2.46155,4.76411,-2.14535,-0.203667
2.7498,5.49675,-2.50363,-0.161508
2.64308,5.01058,-2.40542,-0.110574
6.3058,5.83581,-2.63431,-1.5908
5.93349,5.60561,-2.17012,-1.53666
6.45319,5.71559,-2.49683,-1.71295
5.3035,4.40682,-1.95425,-1.36519
6.15132,5.27835,-2.3296,-1.54052
5.56343,4.95537,-1.89979,-1.77575
6.02706,5.66944,-1.98164,-1.68378
4.38809,4.23372,-1.78907,-1.13112
6.06357,5.39712,-2.50289,-1.63087
5.03792,4.6628,-1.58828,-1.36198
4.66398,3.9087,-1.93461,-1.21517
5.5526,5.22179,-1.90599,-1.4031
5.42154,4.49004,-2.52783,-1.37713
5.91755,5.21225,-2.06827,-1.7909
4.96189,4.98864,-1.92837,-1.09294
6.00221,5.62124,-2.48746,-1.41694
5.57044,5.11269,-1.64998,-1.72284
5.2408,4.8752,-2.24356,-1.57252
6.09843,4.60811,-2.2824,-1.46462
5.13077,4.61538,-2.11597,-1.38784
6.01654,5.43708,-1.58022,-1.75279
5.48159,5.09861,-2.25508,-1.26924
6.30202,4.93177,-2.22151,-1.79642
5.83152,5.10836,-2.22118,-1.88268
5.78518,5.31318,-2.40193,-1.4431
5.97701,5.4906,-2.44157,-1.43085
6.3673,5.39272,-2.5796,-1.67384
6.54689,5.56044,-2.23821,-1.72918
5.8058,5.17509,-1.96106,-1.60479
4.86726,4.73113,-2.28133,-1.10531
5.04752,4.4825,-2.08403,-1.32156
4.93299,4.47433,-2.16167,-1.29351
5.23764,4.88259,-2.14405,-1.30788
6.26445,5.01041,-1.86472,-2.00881
5.46622,5.03547,-1.50719,-1.77563
5.7277,5.64117,-1.76983,-1.61507
6.23286,5.63389,-2.38193,-1.60537
5.95261,4.72465,-2.46963,-1.47479
5.22526,5.09186,-1.83315,-1.50636
5.24967,4.59088,-1.90323,-1.39016
5.39851,4.68593,-1.88566,-1.77552
5.83258,5.30204,-2.05671,-1.72319
5.32261,4.7928,-2.15561,-1.37559
4.46712,4.1803,-1.88597,-1.09225
5.36406,4.81802,-1.89573,-1.5491
5.27896,5.12678,-1.9543,-1.61228
5.36234,5.04068,-1.91611,-1.54767
5.68095,5.23597,-2.25914,-1.49589
4.3477,4.40218,-1.88448,-0.798127
5.3312,4.94642,-1.95556,-1.455
7.29008,5.75195,-1.22708,-2.25702
6.32965,4.95099,-1.53083,-1.9052
7.50375,5.75876,-2.1435,-2.13676
6.77019,5.33335,-1.83078,-2.25126
7.18951,5.5308,-1.66537,-2.16281
8.17071,5.96748,-2.40288,-2.5661
5.45319,4.39415,-1.15035,-1.74093
7.6977,5.73511,-2.44713,-2.54863
7.20241,5.12415,-2.1905,-2.25613
7.73639,6.37775,-1.77917,-2.13711
